,coefs,coefs_with_stopword
swimming,-0.3987728524262552,-0.5873533199549197
loud,-0.39876487392682863,-0.41776855269980495
tough,-0.39758907330202786,-0.4535169105506104
always,-0.3972756332353868,
go,-0.39673875320014357,
lefou,-0.3953988122844538,-0.3962704594561597
showing,-0.39532151488970074,-0.43140685404454104
smith,-0.39424091169193987,-0.36605217670799606
special,-0.3937599272084831,-0.5014488432146602
roll,-0.3927811611575185,-0.4063502359734992
hi,-0.3916979971932036,-0.2554924077883558
home,-0.39116425526025683,-0.6627286911871251
turn,-0.3894686582208804,-0.33206485421835796
frozen,-0.3860571122798203,-0.5386584813030969
befuddling,-0.3860135274179303,-0.6798113431194751
ahead,-0.38437833969422364,-0.22123255578935877
simple,-0.3834818255423239,-0.30593497735304254
clear,-0.37969938497968286,-0.38989682094134914
heh,-0.37646634260197764,-0.4213556770602169
spoonful,-0.375014944615109,-0.42570680676811
pets,-0.3749588795792977,-0.31330470650264547
savages,-0.3735949183107751,-0.49117296287319123
awake,-0.3725777286422853,-0.5537457913799527
maria,-0.37171654524742465,-0.5367907552303034
ya,-0.37046548710367433,-0.37758336088766575
talking,-0.37026764419991626,-0.43063343150076144
pumba,-0.36958933761056256,-0.398281689768201
fear,-0.3694219733509244,-0.3588308472848972
pull,-0.36940364637416073,-0.3858604540119635
bibbidi,-0.36828582541787597,-0.4300727798251103
bobbidi,-0.36828582541787597,-0.4300727798251103
become,-0.36826038645299186,
heal,-0.3679374408512306,-0.5238272069408421
first,-0.36537115362235245,
crying,-0.36373503722959605,-0.4342857086128792
guys,-0.3625760660044487,-0.4478438725138547
anymore,-0.3611553685428208,-0.44164155679546413
saved,-0.3601212742843419,-0.3362892919462587
choose,-0.35939948080641865,-0.4813961197389534
faith,-0.3592878377498837,-0.38717920991351407
deception,-0.35812987307139044,-0.4425105677380535
monster,-0.35800126850953995,-0.5129894349286085
uh,-0.3574427994878717,-0.3737857349827285
family,-0.3573927337362867,-0.5840119397727583
yourself,-0.3572182487219264,
anew,-0.3553261128521621,-0.4388488092539695
potts,-0.35529481046836225,-0.3510705722542771
boo,-0.3552730307205143,-0.3899784789257651
zazu,-0.35147012330715605,-0.4562413081540625
gold,-0.35083544705002534,-0.4637273929513416
hair,-0.34982996924907994,-0.35047649528542013
job,-0.3489824669918362,-0.37973128937257167
banks,-0.34696564812311304,-0.42692527432969035
cold,-0.34652986791218787,-0.469795967112344
stronger,-0.34597746764805665,-0.5387259980414554
truth,-0.34570100103822576,-0.3427986589739416
coraz,-0.3449711376148409,-0.44507866721876715
guide,-0.34484718287469757,-0.472103260715219
briny,-0.34397434293781903,-0.4606681990508514
rolling,-0.34206026650300725,-0.4523141492303343
birds,-0.34182389920368156,-0.42388109907831256
known,-0.34087269906021045,-0.16547781844282689
company,-0.33863634608572546,-0.4988889746168745
simba,-0.336028660783373,-0.40988240937350173
happen,-0.3346452423377104,-0.43238902778958865
don,-0.3345019970339753,-0.11259662271888377
snooze,-0.3342148207722412,-0.3735015934749506
military,-0.3325805651439897,-0.5417052908960035
chorus,-0.332369280286829,-0.21280994839743186
unmeltable,-0.3318530385597668,-0.7580064943715485
cause,-0.3315497193041738,-0.07111673630398109
beat,-0.3292163555174663,-0.1349514699528445
bread,-0.3289636996918275,-0.3124927666200805
hook,-0.328952775755444,-0.36195526567541286
some,-0.32886828942617785,
calm,-0.3284137149256098,-0.4177560164836003
whale,-0.3277730758507721,-0.3257343048671348
naturellement,-0.32754840234232446,-0.2995558700694338
aristocats,-0.32754840234232446,-0.2995558700694338
invested,-0.32690236188426236,-0.2505591548026502
wedding,-0.3267750019868275,-0.26435385398990785
sound,-0.32659046445299533,-0.3718555461507694
shrimp,-0.32505502594828073,-0.33154743309984774
glee,-0.3242878531989597,-0.38558899543136166
sunshine,-0.32365757608089346,-0.3966107524167368
drum,-0.32352354208645984,-0.2673944452112096
grown,-0.3224702904867412,-0.2975627305270818
grab,-0.32233072432263316,-0.36539256381635765
watched,-0.32127851694632825,-0.37797699674959273
kings,-0.3200974284802928,-0.4555395640952215
crook,-0.3198536239947097,-0.41422785633116427
scars,-0.31885991396284696,-0.401329085139555
point,-0.3188154860565586,-0.3827768406445085
cruel,-0.3181400936110019,-0.4186034519530238
hercules,-0.3170456946435952,-0.30375822593464397
bah,-0.3165990299566228,-0.3563784887735536
que,-0.31649525299096815,-0.4326003255848552
puppet,-0.3159864051130274,-0.24676204639766713
wonderland,-0.3158847430050914,-0.39295993675123514
chasing,-0.31368762683151463,-0.3963522023084754
sand,-0.31294891750225134,-0.4807630040910642
beddie,-0.31279205437544116,-0.35273033619755895
snappers,-0.31279205437544116,-0.35273033619755895
mais,-0.30828205981958634,-0.3133992538713277
truly,-0.30742148369940425,-0.5117796345558172
dee,-0.3070184426209869,-0.31264675341868964
yard,-0.30701565559905475,-0.37023461444867367
soldiers,-0.30701565559905475,-0.37023461444867367
humba,-0.3068142297195322,-0.3264357617214161
halala,-0.3068142297195322,-0.3264357617214161
outcasts,-0.3066722716491079,-0.33760006753990773
chums,-0.3057919578053197,-0.32531458682391146
behind,-0.3055904432306733,
wele,-0.3053602334255662,-0.3137064529795266
short,-0.30466517690210604,-0.20048138611957217
war,-0.30459586695302254,-0.41500506270407406
pride,-0.3023740447918196,-0.34679321894706167
whether,-0.3022523935679129,
notice,-0.3016294161774853,-0.3936999768372501
rooftops,-0.30025623453239836,-0.36679335823549686
fins,-0.2994270836547409,-0.3349012254237903
singing,-0.29911089751749664,-0.5041092449645487
ball,-0.2990423828835505,-0.24293777447975523
would,-0.29889234570121576,
snack,-0.2982538796008146,-0.3229200587547413
these,-0.29805172358854776,
herc,-0.2977047639025134,-0.29331390669454305
voi,-0.2972314586225635,-0.2948916614984711
tahdon,-0.2972314586225635,-0.2948916614984711
explanation,-0.2965318417455742,-0.4932122875894628
faire,-0.29638723834767355,-0.27631211992516386
smell,-0.2956824650562818,-0.45637533420258014
bone,-0.2956457157224582,-0.3923346486066412
rate,-0.29529599476633406,-0.3197020403287791
thieves,-0.29525369666877377,-0.34673454608490023
line,-0.2945523611869995,-0.21210658107852104
deal,-0.29443228041877606,-0.36364357153199584
pro,-0.2934571540663846,-0.33430217215296687
pox,-0.2931757696798833,-0.2945641977365063
yo,-0.2929278847953005,-0.1981223597528049
price,-0.2910257106475556,-0.3466543207926509
savoir,-0.2906723090660126,-0.2894900233196441
en,-0.2902454104815051,-0.39221719153647083
scar,-0.2896272682943338,-0.265177682998368
ye,-0.2888410877138155,-0.35376855512298494
stands,-0.28879704224289304,-0.281678714487292
shining,-0.28873378693799645,-0.4340930386820785
jolly,-0.2872172888904156,-0.3199685938378164
creature,-0.28649791206382563,-0.2614431098218384
bells,-0.28554654950437114,-0.2681512469577131
thugs,-0.28542083780652966,-0.3150356482244014
aurora,-0.2845644763259318,-0.23206458113340395
test,-0.284359501654918,-0.29343543487729945
slip,-0.2843001819399701,-0.28471013900806474
deep,-0.2835244312870017,-0.052781016881169
haw,-0.2834793587295623,-0.23293822248694082
clue,-0.2830435011864783,-0.29691730420099466
familia,-0.2824812234565103,-0.3688907405434325
conscience,-0.2821802529816888,-0.32470067361036065
worst,-0.28200871193992083,-0.34346482413724966
painting,-0.28152389371077935,-0.3061969723540762
re,-0.28047321276629955,
less,-0.28043203136830225,
wherever,-0.2791661702639079,
het,-0.2784362336030877,-0.3074868898801112
door,-0.2779020041138642,-0.10511212861621132
jungle,-0.2777234642320369,-0.2915092554548535
design,-0.27767689358813397,-0.312193652878587
rare,-0.2776718965315718,-0.3247176852188651
twinkle,-0.27757233232384076,-0.20418453676420042
gleam,-0.2762634689406132,-0.3487310048990022
wealth,-0.2756376610781151,-0.2847015294557005
who,-0.2749179114744206,
endless,-0.27463384025190146,-0.26864377654808597
flowers,-0.2744757395266142,-0.2877387868184973
seen,-0.27412108319636486,-0.5604567756961282
plenty,-0.273718867625868,-0.3159984264845802
baba,-0.27350494151797083,-0.2962859441058376
ils,-0.27295700195193706,-0.2496298917245282
figitus,-0.27233768957190496,-0.4383515752292668
higitus,-0.27233768957190496,-0.4383515752292668
flow,-0.27221973021065826,-0.39968525879297667
feed,-0.2707201901815802,-0.3248532610888189
cards,-0.2690573864375533,-0.34791689530830117
glow,-0.2667042104038291,-0.434852338223616
forty,-0.2663905482721137,
rage,-0.26551204330627814,-0.32632689433130463
golden,-0.26518317244307077,-0.2735441211054251
sebastian,-0.26421260217023534,-0.43963629576253166
